country,date,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),Population living in slums (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)",Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %)
Austria,2009,100.0,100.0,10.0618,48.0158430961523,25.9105158852302,22.1053272109221,1.14681776764538,0.608446124914694,9.2,98.6,9.3,,,,,25.62255,,17.32299,75.81019,5.32200002670288,24.9699993133545,69.7080001831055,1.39,400172297860.517,-3.76458048308088,31.5,10.58393,22.6,39.3,7.7,13.0,17.4,25.7928458296062,80.3317073170732,,,69.9828552594149,0.833379564692924,136.5634805,,14.9344360330757,67.5603329549989,17.5052310119254,101.035665641397,0.261953189906348,35.5416598530673,,4279831.0,4063492.0,8343323.0,0.5,0.7,,,2.5,,42.317,62.1685810384121,83879.00390625,25.2251652368968,57.683,-0.227452142237554
Austria,2008,100.0,100.0,10.5944,47.8787129187929,25.3959664802166,22.4827464385763,1.34222302680426,0.831474986737974,9.3,98.6,9.0,,,,,23.59576,,15.20425,72.46946,5.2519998550415,26.2350006103516,68.5130004882813,1.42,430294287388.311,1.46042519318141,30.4,10.55515,22.6,38.6,8.0,13.3,17.5,26.9602141407645,80.4317073170732,,,84.9609234226452,0.870705123070585,129.6644309,,15.2035021864089,67.6229858016489,17.1735120119422,100.771345840527,0.313041437661508,35.0487329273051,,4271066.0,4050430.0,8321496.0,0.5,0.5,,,2.5,,42.034,61.0266320776577,83879.00390625,26.0775197165623,57.966,-0.173990969023818
Austria,2007,100.0,100.0,11.127,47.7523634092226,24.8562593720172,22.8961040372054,1.41639156023265,0.840805289674238,9.2,98.5,9.0,,,,,23.867,,15.83076,73.59061,5.52699995040894,27.3239994049072,67.1490020751953,1.38,388691445387.353,3.72741517552969,30.6,10.45229,22.9,38.7,8.0,13.1,17.3,27.5726388212438,80.1804878048781,,,84.0401824831694,0.90045717278703,119.2243632,,15.4962684049303,67.6808154984937,16.8229160965761,100.45638301005,0.324146535285463,34.5800053724743,,4259861.0,4035626.0,8295487.0,0.5,0.5,,,2.5,,41.751,60.3153124870919,83879.00390625,25.3919943156154,58.249,-0.16052793407859
Austria,2006,100.0,100.0,11.5708,47.6052248341712,24.3400676417948,23.2651571923764,1.30318945861739,0.981742775048124,9.4,98.6,9.0,,,,,,,,,5.24399995803833,28.1609992980957,66.5940017700195,1.41,335998557270.104,3.45404103230437,29.6,10.37458,22.6,38.3,8.6,13.3,17.2,27.2593708304078,79.8804878048781,,,81.5369572494221,0.785813244459197,112.0170885,,15.7617493928737,67.7482754787581,16.4899751283683,100.128856866069,0.494797775098466,34.2329364368494,,4247864.0,4020777.0,8268641.0,0.0,0.2,,,2.5,,41.468,60.7033786497088,83879.00390625,25.0504425566822,58.532,0.0158696802034512
Austria,2005,100.0,100.0,12.0146,47.4253952508972,23.8789667536999,23.5464284971973,1.25939963482441,0.995717171516017,9.5,98.6,9.1,,,,,23.83703,,15.95592,74.20216,5.27400016784668,27.5750007629395,67.1510009765625,1.41,315974418604.651,2.24406681223554,28.7,10.26185,22.8,37.5,8.8,13.4,17.5,27.0742425967636,79.3317073170732,,,79.914380763824,0.850142574026263,104.9838556,,15.9717579495132,67.8309232884845,16.1973187620023,99.6346451925406,0.681267248299787,33.9116306915039,,4228324.0,3999505.0,8227829.0,0.2,0.2,,,2.5,,41.187,60.5724261845015,83879.00390625,25.5139554642579,58.813,0.204609524563365
Austria,2004,100.0,100.0,12.4584,47.3987139174221,23.5439762068771,23.854737710545,1.47647439267771,1.00225378607792,9.7,98.4,9.1,,,,,,,,,4.90199995040894,26.7329998016357,68.3649978637695,1.42,300904221504.842,2.73511851844388,29.8,9.87333,22.5,38.5,8.6,13.2,17.2,27.3737678166123,79.1804878048781,,,79.188320724894,0.893480466242935,97.26408257,,16.1838208403388,67.8431945263396,15.9729846333216,98.9581738919835,0.620413127334181,33.5160780113735,,4200660.0,3971306.0,8171966.0,0.0,0.2,,,2.5,,40.906,60.3182667785607,83879.00390625,26.3086724864457,59.094,0.146033119948255
Austria,2003,100.0,100.0,12.9022,47.3329338625505,23.2702797184402,24.0626541441103,1.49193189790189,0.866673329530992,9.5,98.4,9.5,,,,,,,,,5.50400018692017,28.9190006256104,65.5770034790039,1.38,261695778781.038,0.941473311999275,29.5,10.73962,22.7,38.0,8.5,13.4,17.4,27.498379858473,78.6317073170732,,,75.1552053747726,0.913640318789259,88.96932087,,16.3321571867984,67.8734889036641,15.7943539095375,98.3461249697263,0.487133894826838,33.104470152496,,4175478.0,3945945.0,8121423.0,0.2,0.5,,,2.5,,40.625,60.3935712577189,83879.00390625,26.6469699320882,59.375,0.0166746410827647
Austria,2002,100.0,100.0,13.346,47.2744249579878,23.0489499581426,24.2254749998451,1.56277441149196,0.870895088856469,9.7,98.4,9.4,,,,,,,,,5.75899982452393,28.8519992828369,65.3889999389648,1.39,213377771503.858,1.65154940733892,,10.53233,,,,,,27.3880784820285,78.6780487804878,,,73.5653010590944,0.88352783657309,82.8086898,,16.4492037039678,67.900457955658,15.6503383403742,97.8682126422863,0.49198046425522,32.6562947559067,,4156033.0,3925924.0,8081957.0,,,,,2.5,,40.345,60.2956964515702,83879.00390625,26.9755003214763,59.655,0.0253698675997875
Austria,2001,100.0,100.0,13.6346,47.3255578364559,22.8650021671199,24.460555669336,1.67070339573168,0.890164276472675,9.4,98.3,9.3,,,,,,,,,5.80499982833862,29.3649997711182,64.8300018310547,1.33,197337879194.631,1.26717046902299,,10.85632,,,,,,28.2087461435225,78.5756097560976,,,73.6726271678487,0.908240040709509,80.77554402,,16.603060505217,67.8768837953466,15.5200556994364,97.3879026398644,0.382799394483217,32.2169728725819,,4136937.0,3905356.0,8042293.0,,,,,2.5,,40.066,59.4875285840504,83879.00390625,27.9655719884559,59.934,-0.0816252765125744
Austria,2000,100.0,100.0,13.9232,47.5297280624623,22.7046805297879,24.8250475326744,1.64730021298979,1.03871482507658,9.8,98.3,9.6,,,,,,,,,6.05100011825562,30.0249996185303,63.9249992370605,1.36,196799778883.361,3.37572197324998,,11.03322,,,,,,28.2848020340956,78.1268292682927,,,71.1911368980941,0.98031858008593,75.80605745,,16.8271478135089,67.7829460784338,15.3899061080573,97.0158149673044,0.240466652446524,32.1149609328682,,4123171.0,3888395.0,8011566.0,,,,,2.5,,39.787,59.3090153444783,83879.00390625,26.225079875854,60.213,-0.220175991539749
Austria,1999,100.0,100.0,14.2118,47.8438283631068,22.6746250964682,25.1692032666386,1.72221732211898,1.04165836126307,9.8,98.3,9.8,,,,,,,,,6.23299980163574,29.757999420166,64.0090026855469,1.34,217185787342.851,3.55633024060906,,12.1505699157715,,,,,,28.4285921580405,77.8756097560976,,,63.2555203914554,0.980246123382213,52.79261389,,17.0241803835072,67.6389463171117,15.3368732993811,96.7828045531606,0.194563153264961,32.0229833180857,,4116125.0,3876199.0,7992324.0,,,,,,,39.509,58.7312187191226,83879.00390625,26.6278222019285,60.491,-0.262302086402193
Austria,1998,100.0,100.0,14.5004,48.3286232130644,22.6992838311408,25.6293393819236,1.79334392378865,1.1790414626126,10.2,98.3,9.8,,,,,,,,,6.4850001335144,29.5639991760254,63.951000213623,1.37,218259904401.956,3.58143100907364,,11.2919502258301,,,,,,28.5106628527989,77.6707317073171,,,61.206386196329,1.01807286299799,28.51493275,,17.2787509093962,67.4178745313112,15.3033745592926,96.5946839428433,0.109728368100981,31.9178682719474,,4111725.0,3865064.0,7976789.0,,,,,,,39.232,58.8627937095527,83879.00390625,26.8898454625725,60.768,-0.345078397907957
Austria,1997,100.0,100.0,14.789,48.836047721427,22.739032085132,26.097015636295,1.90548344310224,1.18987004788508,10.5,98.2,10.0,,,,,,,,,6.89200019836426,29.6420001983643,63.4650001525879,1.39,212790348404.555,2.09359647615659,,,,,,,,28.6763839380903,77.319512195122,,,58.9890476429677,1.04643398189713,14.43692147,,17.5340687444945,67.1880282977106,15.2779029577949,96.4887503027367,0.113316608322994,31.7867613907717,,4111546.0,3856495.0,7968041.0,,,,,,,38.955,58.4915963946458,83879.00390625,26.7977121693633,61.045,-0.336146843405769
Austria,1996,100.0,100.0,15.909,49.1194776127373,22.7336710419398,26.3858065707975,1.98247099499027,1.4552980935595,11.2,98.2,10.2,,,,,,,,,7.42799997329712,30.2980003356934,62.273998260498,1.45,237250948791.266,2.34953509672661,,9.7409496307373,,,,,,28.7520088650827,76.8707317073171,,,53.4147495070693,1.04968297742271,7.467176728,,17.6944031096565,67.0603251764217,15.2452717139218,96.3794744490191,0.135019833748789,31.6590680117013,,4111896.0,3847121.0,7959017.0,,,,,,,38.68,58.6808938359451,83879.00390625,25.9400360072768,61.32,-0.31406622796653
Austria,1995,100.0,100.0,17.029,49.0473808951869,22.6400828545438,26.4072980406431,2.15859633228818,1.4448356318217,11.2,,10.2,,,,,,,,,7.33599996566772,32.101001739502,60.5629997253418,1.42,241038283062.645,2.66798366552709,,10.5061197280884,,,,,,28.851531988081,76.6682926829268,,,51.4337384189628,1.07323205206951,4.800115042,,17.7173787480815,67.0927636765451,15.1898575753734,96.2494308549285,0.153106260702748,31.5387756210858,,4111974.0,3836304.0,7948278.0,,,,,,,38.404,58.9178225880654,83879.00390625,24.6001061668802,61.596,-0.290743621754919
Austria,1994,100.0,100.0,18.149,48.855726133545,22.6455973422445,26.2101287913005,2.37154595460716,1.17567573922572,11.6,,10.2,,,,,,,,,7.19899988174438,32.4669990539551,60.3339996337891,1.47,203535242741.838,2.40211876340426,,,,,,,,28.4134002148092,76.419512195122,,,49.2469995120879,1.09445307622703,3.500587439,,17.6077412837639,67.1791442756822,15.2131144405539,96.1021797045289,0.384869546678302,31.4262956418597,,4112000.0,3824118.0,7936118.0,,,,,,,38.13,58.1747953540538,83879.00390625,18.3455730614349,61.87,-0.0570296951622662
Austria,1993,100.0,100.0,19.269,48.3571117323908,22.5666033501814,25.7905083822094,2.20444098153993,1.20587469997168,12.0,100.0,10.4,,,,,,,,,6.8899998664856,32.6199989318848,60.4900016784668,1.5,190379720927.481,0.526809482420504,,11.0731801986694,,,,,,28.303768454542,76.0682926829268,,,47.1746673240531,1.11558454134251,2.798486991,,17.3840731081744,67.4049294445093,15.2109974473162,95.7330225236135,0.824627940995206,31.3875148919869,,4103160.0,3802473.0,7905633.0,,,,,,,37.856,58.395355182804,83879.00390625,18.935455757724,62.144,0.386303389032001
Austria,1992,100.0,100.0,20.389,47.7068976463037,22.4119485581889,25.2949490881148,2.45333476066201,1.19033416196823,12.2,,10.6,,,,,,,,,7.05000019073486,32.8919982910156,60.0579986572266,1.51,195078126346.106,2.09352472320464,,11.7597103118896,,,,,,29.0158976209675,75.8170731707317,,,50.5689704159747,1.09921407158669,2.202202471,,17.125098631287,67.7016391278025,15.1732622409105,94.9468273189634,1.10055228652823,31.4880765682421,,4076674.0,3764035.0,7840709.0,,,,,,,37.583,57.3487629838406,83879.00390625,18.9204805390378,62.417,0.665705624472983
Austria,1991,100.0,100.0,20.588,47.1297718005086,22.1876711676425,24.9421006328661,2.81128192983211,1.21631397707856,12.2,,10.8,,,,,6.10452,,,,7.3600001335144,33.068000793457,59.5719985961914,1.51,173794177725.398,3.44162739232672,,11.7502098083496,,,,,,29.5052576493809,75.6170731707317,,,52.8936016172228,1.15421711847241,1.484709112,,16.9524467749371,67.9672098540778,15.0803433709852,93.9076168563817,0.998418103144403,31.6772889812616,,4039020.0,3715871.0,7754891.0,,,,,,,37.311,56.4493014535164,83879.00390625,18.1671785806239,62.689,0.567072341992738
Austria,1990,100.0,100.0,20.787,46.7389877180607,21.8956152694877,24.843372448573,3.09711971941306,1.20506238299685,11.8,,10.8,,,,,,,,,,,,1.46,166463386663.439,4.34564156052724,,11.5131101608276,,,,,,29.5608636535213,75.5682926829269,,,54.3128442909765,1.19566026670559,0.954149231,,16.9303163446574,68.1482101966235,14.9214734587191,92.9746912085251,0.762001611316115,31.8393520527831,,4005232.0,3672618.0,7677850.0,,,,,,,37.04,56.1086627644695,83879.00390625,17.9810832815335,62.96,0.332494357748522
Austria,1989,,,20.986,46.627980594743,21.6799672088875,24.9480133858556,3.01155499734038,,11.6,,10.9,,,,,,,,,,,,1.45,133105805928.237,3.88707478770178,,11.2860403060913,,,,,,29.2832194199124,75.2658536585366,,,53.2553779346166,1.23415492526247,0.659865022,,17.0145026937886,68.1998035014828,14.7856938047286,92.2689149915234,0.450513899730364,31.9277290984838,,3980371.0,3639196.0,7619567.0,,,,,,,36.769,56.0670494059096,83879.00390625,17.8057518142916,63.231,0.0259896516151055
Austria,1988,,,21.185,46.6364242849187,21.3796665798677,25.2567577050509,3.04846157907513,,11.6,,11.0,,,,,,,,,,,,1.45,133339397080.129,3.29588020740688,,,,,,,,29.5182639679518,75.2170731707317,,,50.4352063025953,1.29918114420184,0.481848426,,17.2240704858699,68.1958756156285,14.5800538985016,91.8541656575442,0.141570850318539,31.9183810578083,,3967288.0,3618029.0,7585317.0,,,,,,,36.5,55.7328484417555,83879.00390625,18.5628007757016,63.5,-0.281167820809233
Austria,1987,,,21.384,46.7879870284651,21.0677951452476,25.7201918832174,3.1974933028857,,11.4,,11.2,,,,,,,,,,,,1.43,124168442860.253,1.35716798439928,,,,,,,,29.7526220782216,74.7682926829268,,,48.2344777951403,1.41667790274506,0.343262099,,17.5219966300807,68.1254640445944,14.352539325325,91.7242189392105,0.0632842039083754,31.8111447096396,,3965915.0,3608671.0,7574586.0,,,,,,,36.231,55.587858272695,83879.00390625,17.720084109956,63.769,-0.356097125241776
Austria,1986,,,23.1326,47.1114645510024,20.8697963976339,26.2416681533686,3.22696279741684,,11.5,,11.5,,,,,,,,,,,,1.45,99036165209.5539,2.30139280099837,,,,,,,,30.259284481884,74.3170731707317,,,49.8514859652878,1.5087585414904,0.25053135,,17.8379527455175,67.9756702375865,14.186377016896,91.6661903608622,0.0635489974692431,31.6805326656034,,3967331.0,3602463.0,7569794.0,,,,,,,35.963,55.0360688564447,83879.00390625,17.9723367089122,64.037,-0.354093543946034
Austria,1985,,,24.8812,47.6135245867252,20.8670131217269,26.7465114649984,3.13516451551856,,11.6,,11.8,,,,,,,,,,,,1.47,69386774474.5943,2.4986784712659,,,,,,,,30.4474448148923,73.8146341463415,,,55.0897491480829,1.51262356650052,0.128196575,,18.1192766571922,67.7444704228622,14.1362529199456,91.6079559215306,0.0469509679089439,31.5510999320816,,3968621.0,3596364.0,7564985.0,,,,,,,35.695,54.5882473459269,83879.00390625,18.1037840600629,64.305,-0.36429404481182
Austria,1984,,,26.6298,48.7736273560952,21.2121021330213,27.5615252230739,3.58234928448072,,11.8,,11.7,,,,,,,,,,,,1.52,67985345161.9558,0.0512752525777955,,,,,,,,30.1146222502124,73.6121951219512,,,52.0229762984151,1.41415833617155,0.0,,18.5258146360341,67.2162094979121,14.2579758660538,91.5649551949625,-0.00629490409206624,31.419001814265,,3970488.0,3590946.0,7561434.0,,,,,,,35.43,54.2213447692376,83879.00390625,18.9640774355352,64.57,-0.417404010203336
Austria,1983,,,28.3784,50.3233919658526,21.8043275840545,28.5190643817981,3.41220938963421,,11.9,,12.3,,,,,,,,,,,,1.56,72121016623.2572,2.97308802055163,,,,,,,,31.2968522487394,73.0121951219512,,,48.3215595560001,1.39117588416479,0.0,,18.9718091379019,66.5232427501301,14.504948111968,91.5707193024946,-0.161600981253917,31.2707940703755,,3974323.0,3587587.0,7561910.0,,,,,,,35.164,54.0040916388224,83879.00390625,18.0325887657024,64.836,-0.567951937555925
Austria,1982,,,30.127,52.1357771828241,22.5353462130155,29.6004309698086,3.64603854561808,,12.5,,12.1,,,,,,,,,,,,1.66,71275287327.5793,2.01125436553259,,,,,,,,31.7661310032735,72.9609756097561,,,49.3074125937636,1.41299673018358,0.0,,19.4565875240276,65.7307554240027,14.8126570519697,91.7188181157665,0.0717170180347239,31.0765165243121,,3984156.0,3589984.0,7574140.0,,,,,,,34.9,53.4449545677038,83879.00390625,18.1904204583364,65.1,-0.333003715206017
Austria,1981,,,31.7484,53.9523162788692,23.1985678570477,30.7537484218215,3.96693532951175,,12.4,,12.2,,,,,3.24651,,,50.71439,,,,1.67,71034228097.4598,-0.144294518362841,,,,,,,,32.5462609290072,72.8121951219512,,,51.9242638202455,1.38005173349012,0.0,,19.9761510040156,64.9551785893456,15.0686704066388,91.6530636958101,0.255018231368981,30.9560617171854,,3984469.0,3584241.0,7568710.0,,,,,,,34.636,52.2007780291658,83879.00390625,18.94982574072,65.364,0.21372220737912
Austria,1980,,,33.3698,55.5610664254431,23.6381357233154,31.9229307021276,4.32640282439593,,12.0,,12.2,,,,,,,,,,,,1.65,82058912465.4329,1.73148542809489,,,,,,,,32.9373058806368,72.4634146341463,,,51.1010915696259,1.42024610611492,0.0,,20.5211549601091,64.2834352551831,15.1954097847078,91.4196294502301,0.000105968279182431,31.1705306229933,,3977201.0,3572232.0,7549433.0,,,,,,,34.609,51.5959057566643,83879.00390625,18.5780047045143,65.391,0.0153962405115903
Austria,1979,,,34.9912,57.2177829979446,24.0328495654836,33.184933432461,4.28892567196048,,11.4,,12.2,,,,,,,,,,,,1.6,73937296654.6577,5.35669983130138,,,,,,,,32.9180396040663,72.3121951219512,,,48.3287888748485,1.43384573169429,0.0,,21.1076199112509,63.606035481769,15.2863446069801,91.4195325744732,-0.170463648025429,31.3513064513188,,3979807.0,3569618.0,7549425.0,,,,,,,34.619,51.6857483489192,83879.00390625,18.5501164112901,65.381,-0.155150462665252
