country,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),Population living in slums (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)",Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %)
Greenland,100.0,100.0,,,,,16.1942248536368,,13.9,,8.0,0.10487,10.13577,2.82872,100.0,13.36413,100.0,12.98999,38.18769,,,,2.019,2609667673.71601,1.39419335955624,,,,,,,,18.9131081930341,71.2990243902439,,,51.1942579300764,,105.2859926,,,,,0.138409063223292,-0.14072121935205,,,,,56810.0,,,,,,,14.8,61.6478682234644,410450.0,,85.2,0.382947921390193
Isle of Man,100.0,100.0,,,,,0.668366764358847,,,,,,,,,,,,,,,,,6433357030.0158,3.20000000000005,,,,,,,,9.60424230443863,,,,,,,,,,,148.30350877193,-0.416718916808586,,,,,84533.0,,,,,,,47.954,84.7102446642757,570.0,,52.046,-0.351685615521534
Ireland,100.0,100.0,10.778,49.2114670922869,17.3910970102772,31.8203700820098,0.9807212054985,0.41683514682628,15.6,99.8,6.3,,,,,,,,,5.77199983596802,16.9759998321533,77.2519989013672,1.98,224999484104.853,0.225714814318877,33.2,13.71611,22.3,41.1,7.5,12.5,16.6,24.5027130035272,80.8463414634146,,,79.7966274075236,0.514164819089702,108.7990577,,21.3256895645543,67.0189735770902,11.6553368583555,66.7663376397155,0.4237438032978,39.5055111488314,,2319082.0,2280451.0,4599533.0,0.2,0.5,,0.2,2.5,,38.058,64.9704073180233,70280.0,22.5382471621664,61.942,0.747174720500851
Iceland,100.0,100.0,9.36,49.7574209575218,18.8361809326802,30.9212400248416,6.56581448790771,0.0951273649719903,14.1,97.8,6.1,,,,,,,,,5.54899978637695,18.2240009307861,76.2269973754883,2.04,14724078264.24,1.29643609531233,26.8,17.33145,22.3,36.3,9.3,14.2,17.8,20.4823200279468,82.9170731707317,,,66.8021442394016,,108.1258521,,20.6475010133517,66.7746551533539,12.5778438332944,3.19916209476309,0.532100734916982,,,159343.0,161373.0,320716.0,0.0,0.0,,0.1,2.5,,6.40000000000001,61.3348570445061,103000.0,21.4393388324839,93.6,0.545808759140286
Italy,100.0,100.0,5.894,53.7983835645624,32.2394618673765,21.5589216971859,1.96482908883537,1.44142944894493,9.0,,10.3,,,,75.68226,13.54081,94.38955,12.75082,47.284,3.69300007820129,27.5830001831055,68.7239990234375,1.43,2072823157059.76,-2.81901377925493,35.2,8.04118,22.8,41.7,6.3,12.3,16.9,21.4265728197165,82.2390243902439,,,47.7564135960422,1.43673729982365,162.3070852,,14.017652226754,65.0201886386071,20.962159134639,202.419653906303,0.269541239520996,9.82747969586636,,30716752.0,28822965.0,59539717.0,1.2,1.7,,0.3,2.5,,31.316,66.3657675583367,301340.0,23.6317653950219,68.684,0.619579150261878
Liechtenstein,100.0,100.0,,,,,,,9.7,,6.1,,,,,,,,,,,,1.51,5456009384.66461,,,,,,,,,,82.3829268292683,,,,,98.5388502,,,,,228.84375,0.883310730332751,,,,,36615.0,,,,,,,85.633,,160.0,,14.367,0.571974867278691
Luxembourg,100.0,100.0,6.404,45.1232445374982,20.2297066074816,24.8935379300166,0.359339088293131,0.591704382922863,11.3,,7.3,,,,,,,36.76339,76.24888,1.32500004768372,12.6719999313354,86.0029983520508,1.57,56677961787.0717,-0.352519360092558,34.3,9.28171,22.7,41.7,7.4,11.8,16.5,10.6707242084059,81.3926829268293,,,81.8236904393736,0.419039718263302,143.412256,,17.1533953588254,68.9068807607322,13.9397238804424,218.496296296296,2.40154189982875,,,266145.0,264801.0,530946.0,0.0,0.2,,0.2,2.5,,10.751,78.2569202392224,2590.0,25.7106537334035,89.249,2.78651096329972
St. Martin (French part),100.0,100.0,,,,,,,16.3,,4.0,,,,,,,,,,,,1.82,,,,,,,,,,,79.0219512195122,,,,,,,,,,680.3125,-1.17387688713345,,,,,37009.0,,,,,,,,,54.4,,,
Monaco,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,5743029680.07195,0.984960324783145,,8.87595,,,,,,12.9289901114144,,,,,,91.0449808,,,,,18230.0,1.20303862512465,,,,,36460.0,,,,,,,0.0,87.0710098885856,2.0,,100.0,1.20303862512465
Netherlands,100.0,100.0,4.448,50.5799295494589,24.6860888715736,25.8938406778854,1.65950447649648,0.483171569426064,10.5,,8.4,,,,89.85911,32.05775,98.39972,29.28335,67.09863,2.73300004005432,17.2059993743896,80.0609970092773,1.72,838971306990.906,-1.03035399675242,27.6,11.77607,22.4,36.9,9.1,13.9,17.6,20.0181939028985,81.1048780487805,,,148.074313108001,1.23540888805849,117.4201279,,17.1960785714966,66.4099110043926,16.3940104241108,496.884994068802,0.370055034770235,7.28305128800423,,8431597.0,8323365.0,16754962.0,0.0,0.0,,0.2,2.5,,11.412,68.7276213462876,41540.0,19.4077486423489,88.588,1.17360740031088
Portugal,100.0,100.0,11.414,51.6772813488703,29.5041716559351,22.1731096929351,1.90723262226518,1.67589740315707,8.5,,10.2,,15.23539,,47.23016,15.55972,88.49507,15.23539,30.02282,10.8070001602173,25.1490001678467,64.0429992675781,1.28,216368178659.447,-4.0282567482528,36.0,10.19303,22.1,43.2,6.5,12.1,16.2,19.0991846225889,80.3731707317073,,,60.32264116131,1.91213707571497,113.2169513,,14.618610817772,65.9294502877932,19.4519388944348,114.803406485424,-0.405421787747567,43.7317714673044,,5507126.0,5007718.0,10514844.0,0.7,1.5,,0.6,2.5,,38.237,66.5015033524543,92210.0,20.8825790529576,61.763,0.564237547728676
Sint Maarten (Dutch part),100.0,100.0,,,,,0.119000396667989,,12.0,,5.4,,,,,,,,,,,,,,1.39054666984961,,,,,,,,11.6450388167961,73.0536585365854,,,,,195.941138,,,,,1018.82352941176,3.54058281882925,,,,,34640.0,,,,,,,0.0,67.9378931263104,34.0,,100.0,3.54058281882925
