country,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),Population living in slums (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)",Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %)
Greenland,100.0,100.0,,,,,19.5526196293814,,15.2,,8.9,0.10101,10.56648,3.0274099999999997,100.0,13.700510000000001,100.0,13.170229999999998,39.62571,,,,2.09,2713534471.23312,0.9874930736958729,,,,,,,,15.7415616148074,71.2463414634146,,,48.2396672633809,,110.18218519999999,,,,,0.136852235351444,-0.0267006062623867,,,,,56171.0,,,,,,,13.425999999999998,61.414794473155006,410450.0,,86.574,0.259440906549959
Isle of Man,100.0,100.0,,,,,0.61284178187404,,,,,,,,,,,,,,,,,6592627599.24386,7.400000000000009,,,,,,,,8.211715309779821,,,,,,,,,,,146.663157894737,0.372712179069005,,,,,83598.0,,,,,,,47.542,87.14197644649259,570.0,,52.458,0.5923469846531391
Ireland,100.0,100.0,7.515,54.10677358065371,20.8146645778818,33.292109002771895,1.1726842728576399,0.38594044681612,12.9,99.7,6.3,0.9878399999999999,31.161920000000002,11.37665,86.1611,42.9488,,36.656420000000004,70.77677,5.05800008773804,18.826000213623,76.1169967651367,1.81,334834010485.56,8.145296135475009,31.8,13.452820000000001,22.1,40.2,8.0,12.9,16.9,35.7544192079203,81.95609756097559,,,67.6042435688481,0.31063192898547803,103.0630014,,21.6032763908872,64.890068519016,13.5066550900967,69.78353897517779,1.08867556062,39.2721737863202,,2426140.0,2381248.0,4807388.0,0.2,0.5,,0.2,2.5,,37.053000000000004,56.3806549552032,70280.0,18.3855033284405,62.946999999999996,1.4228468790392501
Iceland,100.0,100.0,6.269,52.474047367439496,21.995133603886,30.4789137635535,4.59204466511424,0.0,11.9,97.9,6.5,,,,,,,,,3.75699996948242,17.4829998016357,78.7600021362305,1.74,24489493459.0074,4.60378137949624,,16.83943,,,,,,19.6124803920598,82.2048780487805,,,48.39626438104529,,122.8081928,,19.9896528934517,65.5848059020374,14.425541204510901,3.4254364089775597,2.34558267643862,,,171121.0,172279.0,343400.0,,,,0.1,2.5,,6.227,63.771346870496906,103000.0,24.1564992526124,93.773,2.38588402314435
Italy,100.0,100.0,5.24,56.1884000768445,35.1419036112959,21.0464964655487,1.91512992352876,1.34860424901282,7.6,,10.7,,,,78.45826,14.9665,95.26946,14.35266,49.15258,3.7839999198913596,26.002000808715803,70.213996887207,1.34,1946570340341.13,1.68418260951518,35.4,7.80857,23.5,41.3,5.9,12.1,17.2,21.506274091739396,83.24390243902441,99.15576,99.93,49.345301327856,1.36652876351231,138.2337679,,13.4750705252017,64.0252405238968,22.4996889509015,205.809169103148,-0.14986111697397,9.8375029723027,,31121471.0,29415238.0,60536709.0,2.0,2.5,,0.3,2.5,,29.855999999999998,66.22002724933661,301340.0,23.177508847929698,70.14399999999999,0.262998539787345
Liechtenstein,100.0,100.0,,,,,,,8.9,,6.6,,,,,,,,,,,,1.61,6214633651.30911,,,,,,,,,41.8491484184915,82.2585365853659,,,,,122.7566138,,,,,236.25,0.37636875513052004,,,,,37800.0,,,,,,,85.685,,160.0,,14.315,0.463092427119094
Luxembourg,100.0,100.0,4.727,43.2085127434194,20.2019158955935,23.0065968478258,0.26483661832212,0.6862687908973311,10.4,,7.1,,,,100.0,69.07166,,34.27727,,1.38900005817413,10.7629995346069,87.8479995727539,1.41,62316359824.1281,1.54566060969455,33.8,9.42587,23.1,41.0,7.2,12.1,16.7,10.930895297428,82.68536585365851,,,61.9307676329599,0.5764593015033671,134.1420148,,16.0651112500211,69.8281833386832,14.1067054112956,245.40576131687197,2.43097641776115,,,295911.0,300425.0,596336.0,0.2,0.5,,0.3,2.5,,9.273,79.50063885891521,2590.0,25.9808098742234,90.727,2.72571786341686
St. Martin (French part),100.0,100.0,,,,,,,14.9,,4.3,,,,,,,,,,,,1.81,,,,,,,,,,,79.7219512195122,,,,,,,,,,672.058823529412,1.36318806303135,,,,,36560.0,,,,,,,,,54.4,,,
Monaco,100.0,100.0,,,,,,,7.8,,7.9,,,,,,,,,,,,,6400946585.53076,-3.5,,6.980630000000001,,,,,,14.3485027277547,,,,,,85.89810377,,,,,19196.0,0.8422534161538391,,,,,38392.0,,,,,,,0.0,81.7129273339832,2.0,,100.0,0.8422534161538391
Netherlands,100.0,100.0,3.7880000000000003,54.190741208935,28.975729801213397,25.2150114077216,1.85559496359799,0.44999714087182396,9.9,,8.8,0.62743,31.09321,11.72917,90.36832,33.29138,98.51498000000001,33.03968,71.10495999999999,2.26799988746643,16.524000167846697,81.2070007324219,1.66,831809944960.879,2.91090256981492,28.2,12.80686,22.4,37.3,8.9,13.9,17.5,17.7031373197172,81.5609756097561,,,147.474913882845,1.15852698874429,120.62500109999999,,16.3531299843661,64.85473799459001,18.792132021043898,508.497951914515,0.591203366164118,7.19799880405085,,8607750.0,8523546.0,17131296.0,0.0,0.2,,0.2,2.5,,8.923,70.066626385566,41540.0,23.100308069135398,91.07700000000001,1.07768610579971
Portugal,100.0,100.0,8.38,54.3800233871429,33.2807857024881,21.0992376846549,1.9770887796633798,0.9899928853780531,8.4,98.9,10.6,0.56589,19.24945,14.22251,55.180719999999994,19.78422,91.73931,19.26189,37.62352,6.400000095367429,24.739999771118196,68.859001159668,1.36,219308126633.62802,2.7950242478811402,35.5,10.152000000000001,22.3,42.7,6.7,12.0,16.3,19.4548634162859,81.1243902439025,96.13759,99.66391999999999,64.15357340361619,1.6699769206106498,114.34198500000001,,13.6670779014333,64.7752200096282,21.5577020889385,112.441821058412,-0.24388941035881198,43.7368511941856,,5429333.0,4870967.0,10300300.0,0.5,1.2,,0.5,2.5,,35.348,65.2410522301679,92225.595703125,22.614568716432,64.652,0.635424721292054
Sint Maarten (Dutch part),100.0,100.0,,,,,0.088587806149036,,,,4.6,,,,,,,,,,,,,,0.43250625995902703,,,,,,,,8.473163105784261,,,,,,,,,,,1193.3529411764698,1.5023313732953,,,,,40574.0,,,,,,,0.0,69.2600312662845,34.0,,100.0,1.50233137329532

